End Semester Exam Timetable 2019-20 Semester I,,,,,,,,
Date,Time,Course Code,Course Name,Number of Students,Room No. ,Seating Capacity,Roll Number,
,,,,,,,,
N,,,,,,,,
"Sunday, December 1, 2019","2:00 PM
 – 
 4:30 PM",MSE 403,Science and Technology of Welding and Joining ,6,7/103,20,16110038-18410001,
,,EE 629,Power Electronic Converters,13,7/102,25,16110040-19310033,
,,CS 610,Algorithms,18,7/110,20,11110001-19350006,
,,MSE 631,Thermodynamics of Materials,14,7/101,20,19210116-19310041,
,,,,51,,,,
,,,,,,,,
D,,,,,,,,
"Monday, December 2, 2019",9:30 AM       –           12:00 NOON,BE 101,Introduction to Life Sciences: Fundamentals of Life,210,"1/101
1/103","75
140","14110034-19110072
19110073-19110209",
,,,,, 1/102,75,,
,,CE 201,"Earth Materials and Processes
",27,"7/102
7/103","25
20","17110106-18110178
18110182-18110194",
,,ES 202,"Introduction to Materials
",20,7/101,20,"14110083-18110170
",
,,ES 321,"Dynamics and Vibrations 
",41,7/209,50,14110034-18110192,
,,CL 221,Chemical Engineering Thermodynamics,29,"7/204
7/205","20
20","15110034-17110119
17110130-17110181",
,,CL 425,Process Synthesis and Design,22,7/202,20,15110099-19120001,
,,CE 308,Water Resource Engineering ,24,7/107,20,16110081-17110180,
,,EE 332,Power Systems,41,7/208,50,14110141-19310033,
,,MSE 303,Mechanical Behaviour of Materials,23,7/203,25,16110052-17110182,
,,CG 605,Learning and Memory,12,7/106,20,13510022-18510073,
,,CG 501,Computation and Cognition,17,7/210,20,16110114-19510037,
,,PH 503,Quantum Mechanics I,41,"7/206
7/207","20
20","15110045-19510076
19510077-19510097",
,,PH 608,Tools of Theoretical Physics,20,7/110,20,18510007-19310053,
,,BE613,Biochemistry,22,"7/104 
7/105",,"17310023-19310002
19310003-19310005",
,,,,549,,,,
,,,,,,,,
P,,,,,,,,
"Monday, December 2, 2019","2:00 PM
 – 
 4:30 PM",ES 242,Data Structures and Algorithms - I,77,1/101,75,16110058-19120009,
,,HS 112,Urdu Poetry Interpretation,37,7/208,50,16110008-19510089,
,,PH 609,General Relativity,12,7/102,,,
,,MSE 632,Characterization of Materials,29,7/209,,17210043-19310047,
,,CE 404,Transportation Engineering,18,7/201,,15110018-17110180,
,,CE 607,Adv. Structural Analysis,11,7/107,25,16110045-19350003,
,,ES 612,Artificial Intelligence,36,"7/202
7/203","25
25","14110013-18250032
18310034-19350007",
,,,,220,,,,
,,,,,,,,
R,,,,,,,,
